,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark',time
0,1311302.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1311302.0
1,1311754.0,180.0,59.0,855.0,252.0,0.0,0.0,1.0,1311754.0
2,1312206.0,180.0,59.0,855.0,252.0,0.0,0.0,1.0,1312206.0
3,1312658.0,180.0,59.0,852.0,252.0,0.0,0.0,1.0,1312658.0
4,1313111.0,180.0,59.0,857.0,252.0,0.0,0.0,1.0,1313111.0
5,1313564.0,180.0,59.0,858.0,254.0,0.0,0.0,1.0,1313564.0
6,1314016.0,180.0,59.0,852.0,253.0,0.0,0.0,1.0,1314016.0
7,1314469.0,180.0,59.0,854.0,251.0,0.0,0.0,1.0,1314469.0
8,1314921.0,180.0,59.0,858.0,253.0,0.0,0.0,1.0,1314921.0
9,1315374.0,180.0,59.0,857.0,253.0,0.0,0.0,1.0,1315374.0
10,1315826.0,180.0,59.0,850.0,253.0,0.0,0.0,1.0,1315826.0
11,1316278.0,180.0,59.0,850.0,255.0,0.0,0.0,1.0,1316278.0
12,1316730.0,180.0,59.0,851.0,252.0,0.0,0.0,1.0,1316730.0
13,1317183.0,180.0,59.0,854.0,250.0,0.0,0.0,1.0,1317183.0
14,1317635.0,180.0,59.0,853.0,250.0,0.0,0.0,1.0,1317635.0
15,1318087.0,180.0,59.0,856.0,249.0,0.0,0.0,1.0,1318087.0
16,1318540.0,180.0,59.0,850.0,251.0,0.0,0.0,1.0,1318540.0
17,1318992.0,180.0,59.0,859.0,252.0,0.0,0.0,1.0,1318992.0
18,1319445.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1319445.0
19,1319898.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1319898.0
20,1320350.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1320350.0
21,1320802.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1320802.0
22,1321254.0,180.0,59.0,853.0,254.0,0.0,0.0,1.0,1321254.0
23,1321708.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1321708.0
24,1322160.0,180.0,59.0,857.0,254.0,0.0,0.0,1.0,1322160.0
25,1322612.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1322612.0
26,1323064.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1323064.0
27,1323516.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1323516.0
28,1323970.0,180.0,59.0,852.0,253.0,0.0,0.0,1.0,1323970.0
29,1324422.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1324422.0
30,1324874.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1324874.0
31,1325326.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1325326.0
32,1325779.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1325779.0
33,1326232.0,180.0,59.0,856.0,253.0,0.0,0.0,1.0,1326232.0
34,1326684.0,180.0,59.0,853.0,254.0,0.0,0.0,1.0,1326684.0
35,1327136.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1327136.0
36,1327589.0,180.0,59.0,858.0,254.0,0.0,0.0,1.0,1327589.0
37,1328041.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1328041.0
38,1328494.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1328494.0
39,1328946.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1328946.0
40,1329399.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1329399.0
41,1329851.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1329851.0
42,1330304.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1330304.0
43,1330756.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1330756.0
44,1331208.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1331208.0
45,1331660.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1331660.0
46,1332114.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1332114.0
47,1332566.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1332566.0
48,1333018.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1333018.0
49,1333471.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1333471.0
50,1333924.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1333924.0
51,1334376.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1334376.0
52,1334829.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1334829.0
53,1335281.0,180.0,59.0,860.0,257.0,0.0,0.0,1.0,1335281.0
54,1335733.0,180.0,59.0,852.0,259.0,0.0,0.0,1.0,1335733.0
55,1336185.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1336185.0
56,1336637.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1336637.0
57,1337091.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1337091.0
58,1337543.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1337543.0
59,1337995.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1337995.0
60,1338448.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1338448.0
61,1338900.0,180.0,59.0,856.0,254.0,0.0,0.0,1.0,1338900.0
62,1339353.0,180.0,59.0,859.0,256.0,0.0,0.0,1.0,1339353.0
63,1339805.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1339805.0
64,1340257.0,180.0,59.0,859.0,255.0,0.0,0.0,1.0,1340257.0
65,1340710.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1340710.0
66,1341163.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1341163.0
67,1341615.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1341615.0
68,1342068.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1342068.0
69,1342520.0,180.0,59.0,852.0,254.0,0.0,0.0,1.0,1342520.0
70,1342973.0,180.0,59.0,859.0,256.0,0.0,0.0,1.0,1342973.0
71,1343425.0,180.0,59.0,856.0,254.0,0.0,0.0,1.0,1343425.0
72,1343878.0,180.0,59.0,854.0,252.0,0.0,0.0,1.0,1343878.0
73,1344330.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1344330.0
74,1344782.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1344782.0
75,1345235.0,180.0,59.0,858.0,253.0,0.0,0.0,1.0,1345235.0
76,1345687.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1345687.0
77,1346140.0,180.0,59.0,859.0,255.0,0.0,0.0,1.0,1346140.0
78,1346592.0,180.0,59.0,856.0,252.0,0.0,0.0,1.0,1346592.0
79,1347045.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1347045.0
80,1347497.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1347497.0
81,1347949.0,180.0,59.0,856.0,252.0,0.0,0.0,1.0,1347949.0
82,1348402.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1348402.0
83,1348854.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1348854.0
84,1349307.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1349307.0
85,1349759.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1349759.0
86,1350211.0,180.0,59.0,853.0,259.0,0.0,0.0,1.0,1350211.0
87,1350664.0,180.0,59.0,858.0,253.0,0.0,0.0,1.0,1350664.0
88,1351116.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1351116.0
89,1351569.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1351569.0
90,1352021.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1352021.0
91,1352473.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1352473.0
92,1352925.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1352925.0
93,1353378.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1353378.0
94,1353831.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1353831.0
95,1354283.0,180.0,59.0,857.0,257.0,0.0,0.0,1.0,1354283.0
96,1354735.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1354735.0
97,1355188.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1355188.0
98,1355641.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1355641.0
99,1356093.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1356093.0
100,1356545.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1356545.0
101,1356997.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1356997.0
102,1357450.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1357450.0
103,1357903.0,180.0,59.0,851.0,257.0,0.0,0.0,1.0,1357903.0
104,1358355.0,180.0,59.0,855.0,258.0,0.0,0.0,1.0,1358355.0
105,1358807.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1358807.0
106,1359259.0,180.0,59.0,854.0,257.0,0.0,0.0,1.0,1359259.0
107,1359713.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1359713.0
108,1360165.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1360165.0
109,1360617.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1360617.0
110,1361070.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1361070.0
111,1361522.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1361522.0
112,1361974.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1361974.0
113,1362426.0,180.0,59.0,853.0,254.0,0.0,0.0,1.0,1362426.0
114,1362879.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1362879.0
115,1363332.0,180.0,59.0,854.0,253.0,0.0,0.0,1.0,1363332.0
116,1363784.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1363784.0
117,1364237.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1364237.0
118,1364689.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1364689.0
119,1365141.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1365141.0
120,1365593.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1365593.0
121,1366046.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1366046.0
122,1366499.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1366499.0
123,1366951.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1366951.0
124,1367403.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1367403.0
125,1367856.0,180.0,59.0,854.0,257.0,0.0,0.0,1.0,1367856.0
126,1368309.0,180.0,59.0,855.0,252.0,0.0,0.0,1.0,1368309.0
127,1368761.0,180.0,59.0,861.0,256.0,0.0,0.0,1.0,1368761.0
128,1369214.0,180.0,59.0,851.0,254.0,0.0,0.0,1.0,1369214.0
129,1369666.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1369666.0
130,1370118.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1370118.0
131,1370571.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1370571.0
132,1371023.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1371023.0
133,1371476.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1371476.0
134,1371928.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1371928.0
135,1372381.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1372381.0
136,1372833.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1372833.0
137,1373286.0,180.0,59.0,859.0,256.0,0.0,0.0,1.0,1373286.0
138,1373738.0,180.0,59.0,854.0,257.0,0.0,0.0,1.0,1373738.0
139,1374191.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1374191.0
140,1374643.0,180.0,59.0,859.0,257.0,0.0,0.0,1.0,1374643.0
141,1375096.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1375096.0
142,1375548.0,180.0,59.0,857.0,257.0,0.0,0.0,1.0,1375548.0
143,1376000.0,180.0,59.0,855.0,258.0,0.0,0.0,1.0,1376000.0
144,1376453.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1376453.0
145,1376906.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1376906.0
146,1377358.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1377358.0
147,1377810.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1377810.0
148,1378262.0,180.0,59.0,852.0,254.0,0.0,0.0,1.0,1378262.0
149,1378715.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1378715.0
150,1379167.0,180.0,59.0,859.0,255.0,0.0,0.0,1.0,1379167.0
151,1379621.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1379621.0
152,1380073.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1380073.0
153,1380525.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1380525.0
154,1380977.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1380977.0
155,1381430.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1381430.0
156,1381883.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1381883.0
157,1382335.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1382335.0
158,1382788.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1382788.0
159,1383240.0,180.0,59.0,857.0,253.0,0.0,0.0,1.0,1383240.0
160,1383692.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1383692.0
161,1384144.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1384144.0
162,1384597.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1384597.0
163,1385050.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1385050.0
164,1385502.0,180.0,59.0,851.0,255.0,0.0,0.0,1.0,1385502.0
165,1385955.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1385955.0
166,1386407.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1386407.0
167,1386859.0,180.0,59.0,853.0,257.0,0.0,0.0,1.0,1386859.0
168,1387312.0,180.0,59.0,853.0,258.0,0.0,0.0,1.0,1387312.0
169,1387765.0,180.0,59.0,857.0,259.0,0.0,0.0,1.0,1387765.0
170,1388217.0,180.0,59.0,856.0,258.0,0.0,0.0,1.0,1388217.0
171,1388669.0,180.0,59.0,852.0,258.0,0.0,0.0,1.0,1388669.0
172,1389121.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1389121.0
173,1389574.0,180.0,59.0,856.0,258.0,0.0,0.0,1.0,1389574.0
174,1390027.0,180.0,59.0,851.0,257.0,0.0,0.0,1.0,1390027.0
175,1390479.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1390479.0
176,1390932.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1390932.0
177,1391384.0,180.0,59.0,859.0,256.0,0.0,0.0,1.0,1391384.0
178,1391836.0,180.0,59.0,855.0,252.0,0.0,0.0,1.0,1391836.0
179,1392289.0,180.0,59.0,857.0,254.0,0.0,0.0,1.0,1392289.0
180,1392741.0,180.0,59.0,856.0,251.0,0.0,0.0,1.0,1392741.0
181,1393193.0,180.0,59.0,860.0,254.0,0.0,0.0,1.0,1393193.0
182,1393645.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1393645.0
183,1394097.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1394097.0
184,1394550.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1394550.0
185,1395003.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1395003.0
186,1395455.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1395455.0
187,1395908.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1395908.0
188,1396360.0,180.0,59.0,852.0,253.0,0.0,0.0,1.0,1396360.0
189,1396812.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1396812.0
190,1397264.0,180.0,59.0,857.0,253.0,0.0,0.0,1.0,1397264.0
191,1397717.0,180.0,59.0,854.0,253.0,0.0,0.0,1.0,1397717.0
192,1398169.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1398169.0
193,1398621.0,180.0,59.0,859.0,253.0,0.0,0.0,1.0,1398621.0
194,1399074.0,180.0,59.0,852.0,253.0,0.0,0.0,1.0,1399074.0
195,1399526.0,180.0,59.0,858.0,253.0,0.0,0.0,1.0,1399526.0
196,1399979.0,180.0,59.0,856.0,252.0,0.0,0.0,1.0,1399979.0
197,1400432.0,180.0,59.0,854.0,251.0,0.0,0.0,1.0,1400432.0
198,1400884.0,180.0,59.0,852.0,255.0,0.0,0.0,1.0,1400884.0
199,1401336.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1401336.0
200,1401788.0,180.0,59.0,857.0,252.0,0.0,0.0,1.0,1401788.0
201,1402240.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1402240.0
202,1402693.0,180.0,59.0,861.0,255.0,0.0,0.0,1.0,1402693.0
203,1403145.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1403145.0
204,1403597.0,180.0,59.0,852.0,255.0,0.0,0.0,1.0,1403597.0
205,1404049.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1404049.0
206,1404501.0,180.0,59.0,854.0,250.0,0.0,0.0,1.0,1404501.0
207,1404954.0,180.0,59.0,855.0,251.0,0.0,0.0,1.0,1404954.0
208,1405406.0,180.0,59.0,859.0,256.0,0.0,0.0,1.0,1405406.0
209,1405860.0,180.0,59.0,847.0,254.0,0.0,0.0,1.0,1405860.0
210,1406312.0,180.0,59.0,852.0,255.0,0.0,0.0,1.0,1406312.0
211,1406764.0,180.0,59.0,853.0,253.0,0.0,0.0,1.0,1406764.0
212,1407216.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1407216.0
213,1407668.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1407668.0
214,1408121.0,180.0,59.0,852.0,252.0,0.0,0.0,1.0,1408121.0
215,1408574.0,180.0,59.0,852.0,253.0,0.0,0.0,1.0,1408574.0
216,1409027.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1409027.0
217,1409479.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1409479.0
218,1409931.0,180.0,59.0,853.0,252.0,0.0,0.0,1.0,1409931.0
219,1410383.0,180.0,59.0,858.0,253.0,0.0,0.0,1.0,1410383.0
220,1410835.0,180.0,59.0,856.0,254.0,0.0,0.0,1.0,1410835.0
221,1411288.0,180.0,59.0,853.0,252.0,0.0,0.0,1.0,1411288.0
222,1411740.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1411740.0
223,1412193.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1412193.0
224,1412646.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1412646.0
225,1413098.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1413098.0
226,1413551.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1413551.0
227,1414003.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1414003.0
228,1414455.0,180.0,59.0,856.0,253.0,0.0,0.0,1.0,1414455.0
229,1414908.0,180.0,59.0,856.0,254.0,0.0,0.0,1.0,1414908.0
230,1415360.0,180.0,59.0,850.0,253.0,0.0,0.0,1.0,1415360.0
231,1415812.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1415812.0
232,1416264.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1416264.0
233,1416717.0,180.0,59.0,856.0,253.0,0.0,0.0,1.0,1416717.0
234,1417169.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1417169.0
235,1417622.0,180.0,59.0,852.0,255.0,0.0,0.0,1.0,1417622.0
236,1418075.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1418075.0
237,1418527.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1418527.0
238,1418979.0,180.0,59.0,853.0,253.0,0.0,0.0,1.0,1418979.0
239,1419431.0,180.0,59.0,858.0,252.0,0.0,0.0,1.0,1419431.0
240,1419884.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1419884.0
241,1420336.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1420336.0
242,1420789.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1420789.0
243,1421242.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1421242.0
244,1421694.0,180.0,59.0,853.0,252.0,0.0,0.0,1.0,1421694.0
245,1422146.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1422146.0
246,1422598.0,180.0,59.0,854.0,254.0,0.0,0.0,1.0,1422598.0
247,1423051.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1423051.0
248,1423503.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1423503.0
249,1423956.0,180.0,59.0,860.0,256.0,0.0,0.0,1.0,1423956.0
250,1424409.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1424409.0
251,1424861.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1424861.0
252,1425313.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1425313.0
253,1425765.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1425765.0
254,1426218.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1426218.0
255,1426670.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1426670.0
256,1427123.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1427123.0
257,1427576.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1427576.0
258,1428028.0,180.0,59.0,857.0,253.0,0.0,0.0,1.0,1428028.0
259,1428481.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1428481.0
260,1428933.0,180.0,59.0,853.0,252.0,0.0,0.0,1.0,1428933.0
261,1429385.0,180.0,59.0,855.0,253.0,0.0,0.0,1.0,1429385.0
262,1429837.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1429837.0
263,1430290.0,180.0,59.0,857.0,252.0,0.0,0.0,1.0,1430290.0
264,1430742.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1430742.0
265,1431195.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1431195.0
266,1431648.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1431648.0
267,1432100.0,180.0,59.0,851.0,255.0,0.0,0.0,1.0,1432100.0
268,1432552.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1432552.0
269,1433004.0,180.0,59.0,856.0,257.0,0.0,0.0,1.0,1433004.0
270,1433457.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1433457.0
271,1433910.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1433910.0
272,1434362.0,180.0,59.0,860.0,255.0,0.0,0.0,1.0,1434362.0
273,1434814.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1434814.0
274,1435267.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1435267.0
275,1435719.0,180.0,59.0,857.0,254.0,0.0,0.0,1.0,1435719.0
276,1436172.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1436172.0
277,1436624.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1436624.0
278,1437077.0,180.0,59.0,859.0,255.0,0.0,0.0,1.0,1437077.0
279,1437529.0,180.0,59.0,860.0,256.0,0.0,0.0,1.0,1437529.0
280,1437981.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1437981.0
281,1438434.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1438434.0
282,1438886.0,180.0,59.0,861.0,258.0,0.0,0.0,1.0,1438886.0
283,1439338.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1439338.0
284,1439791.0,180.0,59.0,853.0,256.0,0.0,0.0,1.0,1439791.0
285,1440243.0,180.0,59.0,856.0,254.0,0.0,0.0,1.0,1440243.0
286,1440696.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1440696.0
287,1441148.0,180.0,59.0,856.0,253.0,0.0,0.0,1.0,1441148.0
288,1441600.0,180.0,59.0,858.0,255.0,0.0,0.0,1.0,1441600.0
289,1442053.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1442053.0
290,1442505.0,180.0,59.0,854.0,255.0,0.0,0.0,1.0,1442505.0
291,1442957.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1442957.0
292,1443409.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1443409.0
293,1443863.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1443863.0
294,1444315.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1444315.0
295,1444767.0,180.0,59.0,853.0,254.0,0.0,0.0,1.0,1444767.0
296,1445219.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1445219.0
297,1445671.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1445671.0
298,1446125.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1446125.0
299,1446577.0,180.0,59.0,856.0,255.0,0.0,0.0,1.0,1446577.0
300,1447029.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1447029.0
301,1447481.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1447481.0
302,1447934.0,180.0,59.0,852.0,255.0,0.0,0.0,1.0,1447934.0
303,1448387.0,180.0,59.0,851.0,256.0,0.0,0.0,1.0,1448387.0
304,1448839.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1448839.0
305,1449291.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1449291.0
306,1449743.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1449743.0
307,1450196.0,180.0,59.0,856.0,256.0,0.0,0.0,1.0,1450196.0
308,1450649.0,180.0,59.0,851.0,257.0,0.0,0.0,1.0,1450649.0
309,1451101.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1451101.0
310,1451553.0,180.0,59.0,857.0,257.0,0.0,0.0,1.0,1451553.0
311,1452005.0,180.0,59.0,851.0,257.0,0.0,0.0,1.0,1452005.0
312,1452458.0,180.0,59.0,855.0,257.0,0.0,0.0,1.0,1452458.0
313,1452911.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1452911.0
314,1453363.0,180.0,59.0,855.0,255.0,0.0,0.0,1.0,1453363.0
315,1453815.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1453815.0
316,1454267.0,180.0,59.0,853.0,257.0,0.0,0.0,1.0,1454267.0
317,1454720.0,180.0,59.0,852.0,256.0,0.0,0.0,1.0,1454720.0
318,1455173.0,180.0,59.0,857.0,256.0,0.0,0.0,1.0,1455173.0
319,1455625.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1455625.0
320,1456077.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1456077.0
321,1456530.0,180.0,59.0,855.0,254.0,0.0,0.0,1.0,1456530.0
322,1456983.0,180.0,59.0,853.0,255.0,0.0,0.0,1.0,1456983.0
323,1457435.0,180.0,59.0,854.0,256.0,0.0,0.0,1.0,1457435.0
324,1457887.0,180.0,59.0,857.0,255.0,0.0,0.0,1.0,1457887.0
325,1458340.0,180.0,59.0,855.0,256.0,0.0,0.0,1.0,1458340.0
326,1458793.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1458793.0
327,1459245.0,180.0,59.0,855.0,258.0,0.0,0.0,1.0,1459245.0
328,1459697.0,180.0,59.0,858.0,256.0,0.0,0.0,1.0,1459697.0
329,1460150.0,180.0,59.0,858.0,257.0,0.0,0.0,1.0,1460150.0
330,1460602.0,180.0,59.0,852.0,257.0,0.0,0.0,1.0,1460602.0
331,1461055.0,180.0,59.0,849.0,257.0,0.0,0.0,1.0,1461055.0
