trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.84,3.14,3.14,0.84,1,1,0,1,1,0
1,1.33,3.14,1.33,3.14,3,3,0,1,2,0
2,2.11,3.14,3.14,2.11,1,2,0,2,2,1
3,2.11,3.14,3.14,2.11,1,2,0,2,2,2
4,3.34,3.14,3.34,3.14,1,1,1,3,3,2
5,2.11,3.14,2.11,3.14,3,3,1,1,4,2
6,2.66,3.14,2.66,3.14,3,3,1,1,5,2
7,3.35,3.14,3.14,3.35,3,2,1,2,5,3
8,3.35,3.14,3.14,3.35,3,2,1,2,5,4
9,3.35,3.14,3.35,3.14,1,2,1,2,5,5
10,3.35,3.14,3.35,3.14,1,2,1,2,5,6
11,3.35,3.14,3.35,3.14,1,2,1,2,5,7
12,4.22,3.14,4.22,3.14,1,1,2,3,6,7
13,3.35,3.14,3.14,3.35,3,2,2,2,6,8
14,3.76,3.14,3.14,3.76,3,2,2,2,6,9
15,3.76,3.14,3.76,3.14,1,1,3,3,7,9
16,3.35,3.14,3.14,3.35,3,2,3,2,7,10
